date,rank,songs,artist
1970,1,Bridge Over Troubled Water,Simon & Garfunkel
1970,2,(They Long To Be) Close To You,Carpenters
1970,3,American Woman/No Sugar Tonight,The Guess Who
1970,4,Raindrops Keep Fallin' On My Head,B.J. Thomas
1970,5,War,Edwin Starr
1970,6,Ain't No Mountain High Enough,Diana Ross
1970,7,I'll Be There,Jackson 5
1970,8,Get Ready,Rare Earth
1970,9,Let It Be,The Beatles
1970,10,Band Of Gold,Freda Payne
1970,11,Mama Told Me (Not To Come),Three Dog Night
1970,12,Everything Is Beautiful,Ray Stevens
1970,13,Make It With You,Bread
1970,14,Hitchin' A Ride,Vanity Fare
1970,15,ABC,Jackson 5
1970,16,The Love You Save/I Found That Girl,Jackson 5
1970,17,Cracklin' Rosie,Neil Diamond
1970,18,Candida,Dawn
1970,22,Spirit In The Sky,Norman Greenbaum
1970,23,Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers
1970,24,Ball Of Confusion (That's What The World Is Today),The Temptations
1970,26,All Right Now,Free
1970,28,I Want You Back,Jackson 5
1970,29,"Julie, Do Ya Love Me",Bobby Sherman
1970,30,Green-Eyed Lady,Sugarloaf
1970,32,Ride Captain Ride,Blues Image
1970,34,Instant Karma (We All Shine On),John Ono Lennon
1970,35,Patches,Clarence Carter
1970,36,Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival
1970,37,Rainy Night In Georgia,Brook Benton
1970,39,Give Me Just A Little More Time,Chairmen Of The Board
1970,40,Love Grows (Where My Rosemary Goes),Edison Lighthouse
1970,42,SNOWBIRD,Anne Murray
1970,44,Hey There Lonely Girl,Eddie Holman
1970,48,Come And Get It,Badfinger
1970,51,Turn Back The Hands Of Time,Tyrone Davis
1970,53,In The Summertime,Mungo Jerry
1970,54,Indiana Wants Me,R. Dean Taylor
1970,55,(I Know) I'm Losing You,Rare Earth
1970,56,"Easy Come, Easy Go",Bobby Sherman
1970,58,Still Water (Love),Four Tops
1970,59,Make Me Smile,Chicago
1970,60,House Of The Rising Sun,Frijid Pink
1970,61,25 Or 6 To 4,Chicago
1970,62,My Baby Loves Lovin',White Plains
1970,64,United We Stand,Brotherhood Of Man
1970,65,We've Only Just Begun,"Carpenters
 "
1970,66,Arizona,Mark Lindsay
1970,67,Fire And Rain,James Taylor
1970,68,Groovy Situation,Gene Chandler
1970,69,Evil Ways,Santana
1970,70,No Time,The Guess Who
1970,72,The Wonder Of You/Mama Liked The Roses,Elvis Presley
1970,73,Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival
1970,75,I Just Can't Help Believing,B.J. Thomas
1970,78,Mississippi Queen,Mountain
1970,79,I Want To Take You Higher,Ike & Tina Turner & The Ikettes
1970,83,Yellow River,Christie
1970,84,Somebody's Been Sleeping,100 Proof Aged in Soul
1970,87,Lay A Little Lovin' On Me,Robin McNamara
1970,88,Up The Ladder To The Roof,The Supremes
1970,89,Travelin' Band/Who'll Stop The Rain,Creedence Clearwater Revival
1970,91,Psychedelic Shack,The Temptations
1970,92,Without Love (There Is Nothing),Tom Jones
1970,94,Woodstock,"Crosby, Stills, Nash & Young"
1970,"95
 ",I'll Never Fall In Love Again,Dionne Warwick
1970,98,The Thrill Is Gone,B.B. King
1970,99,It's Only Make Believe,Glen Campbell
1970,100,"Call Me
 ",Aretha Franklin
1971,1,Joy To The World,Three Dog Night
1971,2,Maggie May/Reason To Believe,Rod Stewart
1971,3,It's Too Late/I Feel The Earth Move,Carole King
1971,5,How Can You Mend A Broken Heart,Bee Gees
1971,7,Go Away Little Girl,Donny Osmond
1971,9,Just My Imagination (Running Away With Me),The Temptations
1971,12,Tired Of Being Alone,Al Green
1971,13,Want Ads,The Honey Cone
1971,15,Treat Her Like A Lady,Cornelius Brothers & Sister Rose
1971,16,BROWN SUGAR,The Rolling Stones
1971,17,You've Got A Friend,James Taylor
1971,18,Mr. Big Stuff,Jean Knight
1971,19,Do You Know What I Mean,Lee Michaels
1971,20,The Night They Drove Old Dixie Down,Joan Baez
1971,21,What's Going On,Marvin Gaye
1971,22,Uncle Albert/Admiral Halsey,Paul & Linda McCartney
1971,24,Signs,Five Man Electrical Band
1971,25,She's A Lady,Tom Jones
1971,28,Amos Moses,Jerry Reed
1971,30,Superstar,Carpenters
1971,31,My Sweet Lord/Isn't It A Pity,George Harrison
1971,33,Put Your Hand In The Hand,Ocean
1971,35,For All We Know,Carpenters
1971,36,If You Could Read My Mind,Gordon Lightfoot
1971,37,Help Me Make It Through The Night,Sammi Smith
