date,artist,songs
1995,li kwan,i need a man
1995,b b club,play this house
1995,montell jordan,somethin' 4 da honeyz
1995,hi-lux,never felt this way/feel it
1995,mike oldfield,let there be light
1995,virus,sun
1995,rhythm on the loose,break of dawn
1995,berri,the sunshine after the rain
1995,felix,don't you want me
1995,space 2000,do u wanna funk
1995,jx,son of a gun
1995,happy clappers,hold on
1995,shiva,freedom
1995,mary kiani,when i call your name
1995,xpansions 95,move your body
1995,ballistic brothers,i'll fly away
1995,cygnus x,the orange theme remixes
1995,blue room,spread love (let's have it ibiza part 1)
1995,funkdoobiest,dedicated
1995,billie ray martin,running around town
1995,blackstreet,tonight's the night
1995,clock,everybody
1995,wink,a higher state of consciousness
1995,candy girls,fee fi fo fum
1995,umboza,cry india
1995,escrima,deeper
1995,full force,back together
1995,scatman john,scatman's world
1995,tnt,feel it
1995,red seal,upturn
1995,pet shop boys,paninaro '95
1995,madonna,human nature
1995,utah saints,ohio
1995,kenny thomas,when i think of you
1995,tri,we got the love
1995,remarc,r.i.p.
1995,michelle gayle,happy just to be with you
1995,terrorize,it's just a feeling
1995,sunscreem,when
1995,matt goss,the key
1995,truce,the finest
1995,beverley knight,down for the one
1995,monica,don't take it personal (just one of...)
1995,nuttin' nyce,froggy style
1995,incognito,i hear your name
1995,joanne farrell,all i wanna do
1995,rappin' 4-tay,i'll be around
1995,jetpac,music 'n' gurls
1995,darshan,give me
1995,m people,search for the hero
1995,paula abdul,my love is for real
1995,dr dre,keep their heads ringin'
1995,hardfloor,mahogany roots
1995,haddaway,fly away
1995,love to infinity,keep love together
1995,baby d,i need your loving (everybody's got to.)
1995,elevatorman,fired up
1995,black box,not anyone
1995,clock,whoomph! (there it is)
1995,joe t. vannelli project,sweetest day of may
1995,jodeci,freek 'n you
1995,d'bora,going round
1995,judy cheeks,you're the story of my life/as long as..
1995,disco days,disco dub/disco days
1995,human league,filling up with heaven
1995,r & s,show me baby
1995,for real,you don't know nothin'
1995,yum yum,let me go
1995,tlc,waterfalls
1995,hardkiss,the phoenix
1995,ruby turner,the club diamonds ep
1995,chris & james,tune in/calm down
1995,corona,try me out
1995,dj krush,a whim
1995,sharada house gang,keep it up
1995,faithless,salva mea (save me)
1995,new order,blue monday-95
1995,soul ii soul,love enuff
1995,outhere brothers,boom boom boom
1995,michael watford,love change over
1995,mozaic,sing it (the hallelujah song)
1995,mone,we can make it
1995,jamiroquai,stillness in time
1995,jinny,keep warm
1995,hyperlogic,only me
1995,real emotion,back for good
1995,nush,u girls (look so sexy)
1995,de'lacy,hideaway
1995,dave clarke,red three
1995,amos,church of freedom
1995,quivver,believe in me
1995,ruffneck feat yavahn,everybody be somebody
1995,hardrive,deep inside (remixes)
1995,towa tei,luv connection
1995,pandella,this time baby
1995,felix da housecat,metropolis present day? - thee remixes
1995,740 boyz,shimmy shake
1995,speaking in tongues,speaking in tongues
1995,wildchild,renegade master
1995,group home,livin' proof
