,date,rank,songs,artist
0,1991,1,Bad Day,Daniel Powter
1,1991,2,Temperature,Sean Paul
2,1991,3,Promiscuous,Nelly Furtado Featuring Timbaland
3,1991,4,You're Beautiful,James Blunt
4,1991,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
5,1991,6,Unwritten,Natasha Bedingfield
6,1991,7,Crazy,Gnarls Barkley
7,1991,8,Ridin',Chamillionaire Featuring Krayzie Bone
8,1991,9,SexyBack,Justin Timberlake
9,1991,10,Check On It,Beyonce Featuring Slim Thug
10,1991,11,Be Without You,Mary J. Blige
11,1991,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
12,1991,13,Over My Head (Cable Car),The Fray
13,1991,14,Me & U,Cassie
14,1991,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
15,1991,16,Run It!,Chris Brown
16,1991,17,So Sick,Ne-Yo
17,1991,18,It's Goin' Down,Yung Joc
18,1991,19,SOS,Rihanna
19,1991,20,I Write Sins Not Tragedies,Panic! At The Disco
20,1991,21,Move Along,The All-American Rejects
21,1991,22,London Bridge,Fergie
22,1991,23,Dani California,Red Hot Chili Peppers
23,1991,24, Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
24,1991,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
25,1991,26,What Hurts The Most,Rascal Flatts
26,1991,27,How To Save A Life,The Fray
27,1991,28,Unfaithful,Rihanna
28,1991,29,Chasing Cars,Snow Patrol
29,1991,30,Lips Of An Angel,Hinder
30,1991,31,Everytime We Touch,Cascada
31,1991,32,Ain't No Other Man,Christina Aguilera
32,1991,33,"Dance, Dance",Fall Out Boy
33,1991,34,Gold Digger,Kanye West Featuring Jamie Foxx
34,1991,35,Money Maker, Ludacris Featuring Pharrell
35,1991,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
36,1991,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
37,1991,38,Photograph,Nickelback
38,1991,39,Because Of You,Kelly Clarkson
