,count,mean,std,min,25%,50%,75%,max
date,2052.0,1999.8479532163742,3.2596525378830394,1995.0,1997.0,2000.0,2002.0,2006.0
danceability,2052.0,0.6725617446393762,0.12759121089436792,0.0,0.602,0.685,0.761,0.978
energy,2052.0,0.791447134502924,0.17189096731288578,0.00796,0.7,0.836,0.925,1.0
loudness,2052.0,-8.159350389863548,3.1899116796815155,-29.04,-9.552,-7.7204999999999995,-6.076,-0.277
speechiness,2052.0,0.0828345029239766,0.08125671935518397,0.0,0.0409,0.0543,0.0821,0.947
acousticness,2052.0,0.06704419848927876,0.14620402334976307,0.0,0.00112,0.008664999999999999,0.05575,0.993
instrumentalness,2052.0,0.37910194756335286,0.37838426760346283,0.0,0.0011275,0.233,0.807,1.0
liveness,2052.0,0.19365034113060428,0.16794225646473174,0.0,0.079375,0.123,0.282,0.952
valence,2052.0,0.5525200292397661,0.24612108081124798,0.0,0.36974999999999997,0.564,0.752,0.981
tempo,2052.0,127.06572417153996,20.281041564811783,0.0,121.94175,128.0145,136.08749999999998,220.041
duration_ms,2052.0,329795.6798245614,167627.93443577827,3000.0,230299.75,298073.0,406190.25,3688446.0
